video_file,gt_serve,infer_serve,serve_diff,serve_within_90,gt_score,infer_score,score_diff,score_within_90
Volley_20250415_195039_serve90837_score91127.mp4,90856,90837,19,True,91065,91127,62,True
Volley_20250415_195109_serve91667_score91777.mp4,91753,91667,86,True,91877,91777,100,False
Volley_20250415_195138_serve92724_score92942.mp4,92671,92724,53,True,92862,92942,80,True
Volley_20250415_195204_serve93390_score93686.mp4,93310,93390,80,True,93439,93686,247,False
Volley_20250415_195229_serve94183_score94409.mp4,94183,94183,0,True,94213,94409,196,False
Volley_20250415_195252_serve94875_score95110.mp4,94635,94875,240,False,95246,95110,136,False
Volley_20250415_195319_serve95606_score95845.mp4,95621,95606,15,True,95733,95845,112,False
Volley_20250415_195358_serve96708_score96822.mp4,96797,96708,89,True,96741,96822,81,True
Volley_20250415_195433_serve97804_score97987.mp4,97946,97804,142,False,97955,97987,32,True
Volley_20250415_195458_serve98455_score98702.mp4,98533,98455,78,True,98696,98702,6,True
Volley_20250415_195527_serve99214_score99750.mp4,99141,99214,73,True,99930,99750,180,False
Volley_20250415_195602_serve100091_score100562.mp4,100138,100091,47,True,100479,100562,83,True
Volley_20250415_195640_serve107064_score107187.mp4,107040,107064,24,True,107164,107187,23,True
Volley_20250415_195959_serve107634_score107743.mp4,107696,107634,62,True,107733,107743,10,True
Volley_20250415_200028_serve107872_score108271.mp4,107912,107872,40,True,108328,108271,57,True
Volley_20250415_200050_serve108791_score109203.mp4,108712,108791,79,True,109113,109203,90,True
Volley_20250415_200116_serve109692_score109915.mp4,109739,109692,47,True,109996,109915,81,True
Volley_20250415_200140_serve110361_score110608.mp4,110381,110361,20,True,110688,110608,80,True
Volley_20250415_200205_serve111084_score111322.mp4,110943,111084,141,False,111308,111322,14,True
Volley_20250415_200317_serve112931_score113441.mp4,113011,112931,80,True,113454,113441,13,True
Volley_20250415_200353_serve114008_score114455.mp4,114059,114008,51,True,114472,114455,17,True
Volley_20250415_200454_serve115885_score116436.mp4,115892,115885,7,True,116390,116436,46,True
Volley_20250415_200520_serve117010_score117229.mp4,116997,117010,13,True,117139,117229,90,True
Volley_20250415_200534_serve117689_score117937.mp4,117652,117689,37,True,117995,117937,58,True
Volley_20250415_200626_serve118387_score118634.mp4,118379,118387,8,True,118657,118634,23,True
Volley_20250415_200649_serve119296_score119499.mp4,119336,119296,40,True,119452,119499,47,True
Volley_20250415_200718_serve119986_score120399.mp4,119968,119986,18,True,120471,120399,72,True
Volley_20250415_200751_serve120815_score121064.mp4,120748,120815,67,True,121215,121064,151,False
Volley_20250415_200806_serve121429_score121685.mp4,121389,121429,40,True,121606,121685,79,True
Volley_20250415_200835_serve122203_score122527.mp4,122234,122203,31,True,122455,122527,72,True
Volley_20250415_200946_serve123783_score124559.mp4,123854,123783,71,True,124647,124559,88,True
Volley_20250415_201032_serve124657_score124957.mp4,124669,124657,12,True,125034,124957,77,True
Volley_20250415_201203_serve125630_score125860.mp4,125567,125630,63,True,125826,125860,34,True
Volley_20250415_201246_serve126399_score126581.mp4,126487,126399,88,True,126503,126581,78,True
Volley_20250415_201324_serve128627_score128797.mp4,128568,128627,59,True,128825,128797,28,True
Volley_20250415_201328_serve129350_score129465.mp4,129403,129350,53,True,129488,129465,23,True
Volley_20250415_201344_serve129944_score130488.mp4,129983,129944,39,True,130538,130488,50,True
Volley_20250415_201344_serve130968_score131376.mp4,130918,130968,50,True,131407,131376,31,True
Volley_20250415_201423_serve131838_score132471.mp4,131811,131838,27,True,132758,132471,287,False
Volley_20250415_201450_serve132931_score133176.mp4,132911,132931,20,True,133159,133176,17,True
Volley_20250415_201515_serve133653_score134460.mp4,133648,133653,5,True,134508,134460,48,True
Volley_20250415_201608_serve135108_score135429.mp4,135056,135108,52,True,135516,135429,87,True
Volley_20250415_201635_serve135875_score136187.mp4,135839,135875,36,True,136201,136187,14,True
Volley_20250415_201702_serve136640_score136950.mp4,136669,136640,29,True,136912,136950,38,True
Volley_20250415_201731_serve137493_score137784.mp4,137292,137493,201,False,138022,137784,238,False
Volley_20250415_201845_serve139737_score139981.mp4,139737,139737,0,True,139990,139981,9,True
Volley_20250415_201913_serve140521_score140768.mp4,140328,140521,193,False,140747,140768,21,True
Volley_20250415_201938_serve141598_score141747.mp4,141515,141598,83,True,141828,141747,81,True
Volley_20250415_202014_serve141952_score142547.mp4,141965,141952,13,True,142576,142547,29,True
Volley_20250415_202049_serve143321_score143515.mp4,143180,143321,141,False,143366,143515,149,False
Volley_20250415_202133_serve144199_score144365.mp4,144218,144199,19,True,144393,144365,28,True
Volley_20250415_202202_serve145421_score146129.mp4,145397,145421,24,True,146093,146129,36,True
Volley_20250415_202255_serve146673_score147105.mp4,146669,146673,4,True,147112,147105,7,True
